,artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
35,Keith Urban,God Whispered Your Name,60,12,11,7Ce11Oh1kConF6UlkBWnaZ,0.0,74
36,Don Toliver,After Party,57,12,11,527k23H0A4Q0UJN3vGs0Da,1.0,89
37,Chris Janson,Done,63,13,3,693NFnfJZt16AFDaZqlflo,0.0,72
38,LOCASH,One Big Country Song,65,13,5,28uL97M3whSL1UWqr7hsNh,0.0,74
39,Travis Denning,After A Few,31,7,14,1z6wl2rwKatfmza6usanWw,0.0,72
40,Justin Moore,Why We Drink,69,14,5,4lSfhHd5Knwl8yQw2cVjAD,0.0,72
41,Beyonce,Black Parade,37,8,2,2qzUpSVI4NnPyWxbXwumTj,1.0,82
42,Lee Brice,One Of Them Girls,73,15,5,14GwnOeC9qYEKEA6uOZepa,0.0,76
43,Bad Bunny,Yo Perreo Sola,53,11,16,0SqqAgdovOE24BzxIClpjw,0.0,90
44,Kane Brown,Cool Again,68,14,5,5P3oaNpPDVLRJsL3152SEs,0.0,75
45,Katy Perry,Daisies,40,8,7,4uqh9bualXNHXXwO2wPorc,0.0,85
46,Morgan Wallen,More Than My Hometown,61,13,3,6FniJZn4agmDtPx1pKZQsa,0.0,79
47,Ashley McBryde,One Night Standards,83,17,4,47qZzTLLJcuD69AIKnquo4,0.0,71
48,AJR,Bang!,86,18,2,53BHUFdQphHiZUUG3nx9zn,0.0,72
49,Polo G,21,62,13,6,3JKgcAa7r07ocVWcV8bS0H,1.0,84
50,The Weeknd,In Your Eyes,16,4,15,7szuecWAPwGoV1e5vGu8tl,1.0,91
51,Rod Wave,Girl Of My Dreams,84,17,7,65QRS8iMQ1TsQ93fPZIZ4i,1.0,75
52,Chloe X Halle,Do It,83,17,3,1bRjwdtScY2eMe9uMmsOkG,0.0,78
53,Eric Church,Stick That In Your Country Song,92,19,1,5lH14PEjAXYuMTz0Dd4L1D,0.0,65
54,Luke Combs,Lovin' On You,93,19,1,0nYvjcSlCgjcwogQAwIwNp,0.0,74
55,Parker McCollum,Pretty Heart,94,19,2,6vC90OOjZR165Hw8CpsqEm,0.0,68
56,Juice WRLD,Righteous,11,3,10,0OyQns5ayNK2OVaES0Vb8t,1.0,87
57,Breland,My Truck,92,19,2,6jGyDvL1Rf4XfwTb25o1HN,0.0,70
58,Tim McGraw,I Called Mama,99,20,1,3YuvAPidBWldqjagOryo40,0.0,69
59,NLE Choppa,Shotta Flow 5,54,11,3,1orjH4IkSH9VrWmRCToKV8,1.0,82
60,Billie Eilish,Everything I Wanted,8,2,33,3ZCTVFBt2Brf31RLEnCkWJ,0.0,89
61,J. Cole,Snow On Tha Bluff,54,11,2,1oOEkBNp4zWnkD7nWjJdog,1.0,80
62,A Boogie Wit da Hoodie,Bleed,57,12,1,5XzombolzpiaOSTdj1W0VS,1.0,77
63,twenty one pilots,Level Of Concern,23,5,11,6xZ4Q2k2ompmDppyeESIY8,0.0,83
64,J.I.,Need Me,95,19,2,2dzja72gQodveSpguIQGJl,1.0,79
65,Lil Baby,All In,45,9,8,1ZRjLZcNTm1vUgrexBp3px,1.0,69
66,Regard,Ride It.,62,13,10,2tnVG71enUj33Ic2nFN6kZ,0.0,89
67,Meek Mill,Otherside Of America,64,13,2,3JBvJ9PwrYA1oeUzI3FMRI,1.0,75
68,Carrie Underwood,Drinking Alone,74,15,7,4objxuNfJlJHomkRIPa2Y2,0.0,69
69,Sleepy Hallow,Deep End Freestyle,80,16,2,4zTPYAf5scZdp0LnwPPeWK,1.0,85
70,Zac Brown Band,The Man Who Loves You The Most,96,20,1,58DvikiJcEjow3Skg80yxX,0.0,72
71,Tones And I,Dance Monkey,4,1,36,2XU0oxnq2qxCpomAAuJY8K,0.0,93
72,"NAV, Gunna & Travis Scott",Turks,17,4,11,7IMwEtpAiJanqF6vQteZN2,1.0,73
73,Lil Uzi Vert,That Way,20,4,12,5raTDhlbxFDnpn89bxArdH,1.0,78
74,Brantley Gilbert,Hard Days,95,19,1,2AqbOAAgaNRygNIJYcM69I,0.0,62
75,Brett Young,Catch,29,6,17,53cGGBxGPaRjP0HVUESyW5,0.0,70
76,Kane Brown,Worldwide Beautiful,100,20,1,431M98gFekRc9HdNfgWc7N,0.0,72
77,Lady Gaga,Stupid Love,5,1,10,7yBbV2k2S2uhaQc24NF2xt,0.0,84
78,Lady Gaga,Alice,84,17,1,41A89rj3GoMG6ktN37L7PG,0.0,79
79,Lil Baby,Sum 2 Prove,16,4,20,2u3EyuCqqV31woqGvO9LBz,1.0,76
80,Gunna,Wunna,57,12,1,6HY3arOe4dD8UQ0oVDJ18E,1.0,75
81,Gunna,SkyBox,65,13,2,7GwYENSg87oERcW0Wacd6m,1.0,73
82,Gunna,Argentina,67,14,1,4LkEHc33eXcXFQNwxruw7W,1.0,72
83,Gunna,Met Gala,70,14,1,4loM16743hROPC6uIJG6wM,1.0,72
84,Agust D,Daechwita,76,16,1,0H4ugk6rhnXmTl47ayy9O5,1.0,80
85,Gunna,Nasty Girl / On Camera,78,16,1,2f8y4CuG57UJEmkG3ujd0D,1.0,73
86,Gunna,MOTW,84,17,1,0JZUiKHoEDpsLvXfeqbZxV,1.0,69
87,Gunna,Gimmick,86,18,1,3IaxObCWKEaGtIT78GsEpP,1.0,67
88,Polo G,Martin & Gina,61,13,2,1VLtjHwRWOVJiE5Py7JxoQ,1.0,78
89,Gunna,Feigning,98,20,1,7qaoXmlsSrndaQeDRPpOeW,1.0,68
90,Lewis Capaldi,Someone You Loved,1,1,54,7qEHsqek33rTcFNT9PFqLf,0.0,91
91,Future,Trapped In The Sun,53,11,1,6QeUzTuBoasiii8nevDciq,1.0,69
92,Future,Hard To Choose One,68,14,1,66z5CuZkqkb18VhFTRwbZk,1.0,68
93,Future,Ridin Strikers,69,14,1,6PHbWsTTlmQKF9i9VC1KFv,1.0,68
94,Future,Hitek Tek,71,15,1,5v1STk4ZTTDrhgCs6LD3nd,1.0,67
95,Future,Too Comfortable,75,15,1,0biVzpdI2z0vAxwfU9xuuA,1.0,70
96,Future,Posted With Demons,79,16,1,7enaBBJnekyUCcXRuwGEH6,1.0,66
97,Future,Touch The Sky,81,17,1,29s4u1adFGLWtGehbR5xkq,1.0,66
98,Future,One Of My,82,17,1,12ZpiGAd2uPgJiofgoZMue,1.0,66
99,Polo G,Beautiful Pain (Losin My Mind),92,19,1,4SIB2yxKoFOrbkjA4zfQbB,1.0,75
100,Polo G,33,93,19,1,2iW6Hb6kfrz2K7EhPibFiq,1.0,74
101,Polo G,I Know,95,19,1,40j4RoqmLiivqzRObbQ4BF,1.0,74
102,Moneybagg Yo,Me Vs Me,88,18,2,1lUTmmPMAsxZBR2iK9CKDF,1.0,69
103,Rod Wave,Heart On Ice,25,5,27,6fWa5CRgy0z30OeGZyMBvD,1.0,80
104,Kehlani,Toxic,68,14,1,5nexAvWNhwg51EavnDgViy,1.0,75
105,Ingrid Andress,More Hearts Than Mine,30,6,20,0LcspVKJxhEQQSvVMiTPWz,0.0,68
106,Demi Lovato,I Love Me,18,4,10,2IHLaN6wwYKQ3S24NsQqpA,1.0,79
107,Luke Combs,Six Feet Apart,58,12,2,3aMUiKCIXJeurR5ppEMJZD,0.0,75
108,Lil Durk,Viral Moment,91,19,1,6w8vxB8I2QKZupDfxg9QTe,1.0,62
109,Jake Owen,Homemade,39,8,16,31JID2STTlLuFqXFWHyM8e,0.0,68
110,Drake,Time Flies,30,6,2,5H4mXWKcicuLKDn4Jy0sK7,1.0,76
111,Jordan Davis,Slow Dance In A Parking Lot,37,8,19,6MBUUSIWCzaXW4q58Ktrv9,0.0,74
112,Halsey,You Should Be Sad,26,6,18,7lidXGPXPYLNThITAOTlkK,1.0,84
113,Drake,Deep Pockets,32,7,1,3IvMYBE7A3c7to1aEcfFJk,1.0,71
114,Drake,When To Say When,35,7,1,5TCBWmEBrin7etRa4Lswr1,1.0,72
115,Drake,Landed,39,8,1,3KixNgUEaDtrKJVzdqjU5q,1.0,73
116,Drake,From Florida With Love,45,9,1,0YkUwXxnTkeJBvt5upeEtP,1.0,72
117,Drake,Losses,51,11,1,6fLVTVaHWaEfVKfEgbkf4D,1.0,69
118,Drake,War,52,11,1,1I55Ea0zVoSKs6MqW7DQ3i,1.0,74
119,Lil Baby,Social Distancing,65,13,1,1RrQK0BIyxZaOooNDVSEaZ,1.0,71
120,Lil Baby,Low Down,81,17,1,5m0yZ33oOy0yYBtdTXuxQe,1.0,67
121,Lil Baby,Humble,86,18,1,6heRfvHrUIIPx9TqRg8SCq,1.0,67
122,DaBaby,Find My Way,22,5,5,1gVCEnryJhkdQcuC0Kbvor,1.0,80
123,Arizona Zervas,Roxanne,4,1,26,696DnlkuDOXcMAnKlTgXXK,1.0,90
124,The Weeknd,Heartless,1,1,23,6bnF93Rx87YqUBLSgjiMU8,1.0,82
125,Travis Scott,HIGHEST IN THE ROOM,1,1,22,3eekarcy7kvN4yt5ZFzltW,1.0,90
126,Dan + Shay & Justin Bieber,"10,000 Hours",4,1,30,2wrJq5XKLnmhRXHIAf9xBa,0.0,86
127,Travis Scott,Goosebumps,32,7,35,6gBFPUFcJLzWGx4lenP6h2,1.0,91
128,Lil Uzi Vert,Sasuke,65,13,1,0ROE31C8Wu4neZoR9stM9e,1.0,70
129,YoungBoy Never Broke Again,Diamonds,86,18,1,7jx8tZVzfOAYK6bwP1mwqN,1.0,64
130,Lil Uzi Vert,Myron,13,3,7,56uXDJRCuoS7abX3SkzHKQ,1.0,84
131,Megan Thee Stallion,Captain Hook,74,15,4,1E3VQQWFQAPJkXfYHjqWoI,1.0,79
132,YoungBoy Never Broke Again,Rough Ryder,92,19,1,73C80fhriFzangrzWVO4Zp,1.0,61
133,Alicia Keys,Underdog,69,14,5,3FGiFUJRRp5RGikVrs6kig,0.0,80
134,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,81,17,7,2DEZmgHKAvm41k4J3R2E9Y,1.0,90
135,Playboi Carti,@ MEH,35,7,1,5UusfWUMMLEXLMc1ViNZoe,1.0,77
136,DaBaby,BOP,11,3,30,6Ozh9Ok6h4Oi1wUSLtBseN,1.0,85
137,DaBaby,BLAME IT ON BABY,64,13,1,0jWm0VyD8p3MrSInczpows,1.0,71
138,Karol G & Nicki Minaj,Tusa,42,9,21,0MvxgmXHMXh70GpnR0mKkT,0.0,54
139,DaBaby,TALK ABOUT IT,74,15,1,3QSLoxRguKgK0knOG7EGyn,1.0,66
140,DaBaby,CHAMPION,85,17,1,19eeh4pgEGHdSTc26U1y89,0.0,67
141,Kelly Clarkson,I Dare You,86,18,1,0o58NWBiVXewJNfNDKQyjw,0.0,67
142,Tory Lanez,Broke In A Minute,64,13,2,4xqIYGwwZTEem9U8A42SPF,1.0,81
143,Tory Lanez,Stupid Again,54,11,1,1fPnUpoXCpD2NDI4vPVeLw,1.0,74
144,Selena Gomez,Boyfriend,59,12,1,4QnC1bIaMSfDQvF4XDhV5M,0.0,76
145,Luke Bryan,What She Wants Tonight,46,10,17,5M3v6frAiTyqenNAeQVcxC,0.0,67
146,Polo G,DND,84,17,1,58GJNfq2m0Qr5nIUCDbXVQ,1.0,73
147,Dustin Lynch,Ridin' Roads,47,10,20,2VPmBOuy7ZAOFSzKwW2IEt,0.0,71
148,Taylor Swift,The Man,23,5,8,3RauEVgRgj1IuWdJ9fDs70,0.0,81
149,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,55,11,6,7wsmIIm0xWmtP7TmACXkJn,1.0,80
150,Lil Uzi Vert,P2,11,3,6,3kW4z2pIj5VY5fLjBrMRL5,1.0,83
151,Justin Bieber,Yummy,2,1,15,41L3O37CECZt3N7ziG2z7l,0.0,83
152,Megan Thee Stallion,B.I.T.C.H.,31,7,10,06scTb0zbkxYNgpAB3J9fN,1.0,67
153,Doja Cat,Boss Bitch,100,20,1,78qd8dvwea0Gosb6Fe6j3k,0.0,89
154,Kane Brown,Homesick,35,7,21,30RZAuEkYeDXvy46Iv6l7E,0.0,73
155,Rod Wave,Fuck The World,64,13,1,4zbSIYErBaRCPiZeodadtS,1.0,66
156,Rod Wave,Pray 4 Love,67,14,1,4Uxr9N0AWejJFBy3qyXprX,1.0,63
157,Rod Wave,Thief In The Night,74,15,1,0KVNgZI1y3YTITnwITuEvj,1.0,65
158,Future,Tycoon,76,16,1,1c9hQ4jqgVP10plon2B259,1.0,64
159,Rod Wave,I Remember,77,16,1,5B47BFhAuIzJ6ZwxZPVI1i,1.0,61
160,Rod Wave,The Greatest,78,16,1,4tnLapnaoDS46c9CBRUqpE,1.0,71
161,Rod Wave,Ribbon In The Sky,84,17,1,5qPfvvKDCoXG3rzgztsJQG,1.0,65
162,The Weeknd,After Hours,20,4,7,2p8IUWQDrpjuFltbdgLOag,0.0,83
163,Rod Wave,Thug Life,95,19,1,5naCF6qs5PXR4UTGecayNP,1.0,60
164,Jonas Brothers,What A Man Gotta Do,16,4,12,4wNIkl5XGiAACjFBlDWuSd,0.0,84
165,Rod Wave,No Weakness,99,20,1,7u5awC3KHNZTfHcnFwZdAb,1.0,61
166,Lil Baby,Woah,15,3,21,598yNsG1JFrGd4n2kMoz7F,1.0,77
167,Dua Lipa,Physical,60,12,2,3AzjcOeAmA57TIOr9zF1ZW,0.0,84
168,YoungBoy Never Broke Again,Make No Sense,57,12,20,6klLvorLoo1sxvZcjJIY8I,1.0,78
169,The Weeknd,Save Your Tears,41,9,2,5QO79kh1waicV47BqGRL3g,1.0,79
170,Bad Bunny,La Dificil,33,7,5,6NfrH0ANGmgBXyxgV2PeXt,1.0,87
171,Bad Bunny,Si Veo A Tu Mama,32,7,5,41wtwzCZkXwpnakmwJ239F,0.0,85
172,Bad Bunny,Vete,33,7,18,5DxXgozhkPLgrbKFY91w0c,1.0,81
173,Lil Uzi Vert,Baby Pluto,6,2,4,7hav1MHURQf5SAoPk0egqh,1.0,76
174,The Weeknd,Alone Again,21,5,1,6b5P51m8xx2XA6U7sdNZ5E,1.0,73
175,The Weeknd,Scared To Live,24,5,1,4BGZF4oLbTL0pWm7C18pbv,1.0,74
176,The Weeknd,Hardest To Love,25,5,1,6kWxIqQDsKFYCJGbU4AjCX,1.0,74
177,The Weeknd,Too Late,28,6,1,2K9Ovn1o2bTGqbsABGC6m3,1.0,73
178,The Weeknd,Snowchild,32,7,1,3WlbeuhfRSqU7ylK2Ui5U7,1.0,72
179,The Weeknd,Escape From LA,39,8,1,1sOW4PuG5X3Ie3EXUhAopJ,1.0,74
180,The Weeknd,Faith,45,9,1,3orEOtd8CPL8GFlpRpKuoE,1.0,73
181,Selena Gomez,Lose You To Love Me,1,1,23,4l0Mvzj72xxOpRrp6h8nHi,0.0,84
182,Kelsea Ballerini,homecoming queen?,65,13,13,1s71G3V7XQaVo5IOR6gLbp,0.0,65
183,The Weeknd,Repeat After Me (Interlude),69,14,1,40U8d12pC5UHqmHwXjHjjl,1.0,70
184,The Weeknd,Until I Bleed Out,80,16,1,2BcnxwxBuar5wjCaLqm5N3,1.0,69
185,Sam Smith,To Die For,46,10,6,2ZTYlnhhV1UAReg7wIGolx,0.0,80
186,Lil Uzi Vert,Lo Mein,8,2,3,6CUP2khYzdphXebxVTfPE3,1.0,76
187,Lizzo,Good As Hell,3,1,30,07Oz5StQ7GRoygNLaXs2pd,0.0,80
188,Lil Uzi Vert,Lotus,45,9,1,4SnlSaLJJ7reJMCHM5YUuX,1.0,67
189,Lil Uzi Vert,Silly Watch,9,2,2,5egD7A5x9AHdVO2fMo3Wbo,1.0,72
190,Lil Uzi Vert,Moon Relate,62,13,1,4sWGHlZGM1XA7TyWdtBAbA,1.0,67
191,Lil Uzi Vert,I Can Show You,66,14,1,0AhJag7VI8uFf3mJFsTwvf,1.0,66
192,Jason Aldean,We Back,62,13,16,6UL2RC5J2vMau9KOMKQfJg,0.0,66
193,Lil Uzi Vert,Trap This Way (This Way),68,14,1,7vTspUAmMKFkUpKL9HLZNL,1.0,68
194,Riley Green,I Wish Grandpas Never Died,66,14,12,7Dxes6VnfbZYV0S2QTnVuT,0.0,73
195,Lil Uzi Vert,Homecoming,22,5,2,6vxU64pcIuQ38O015Zy4qj,1.0,71
196,Lil Uzi Vert,Come This Way,83,17,1,2BjNjFJAQTxqUPGpOnrese,1.0,66
197,Don Toliver,Cardigan,90,18,1,0Li1OuXXfi7950ilZUFGkF,0.0,77
198,Lil Uzi Vert,Futsal Shuffle 2020,5,1,11,2Ec33AVlkTTq8BHFgBTdQs,1.0,75
199,Lil Uzi Vert,Prices,25,5,2,4YcWzLSnGqLjSCycuSMHnn,1.0,72
200,Lil Uzi Vert,POP,28,6,1,1jDbQz6tr52WgScCTXMnaN,1.0,65
201,Lil Uzi Vert,Bigger Than Life,33,7,1,2oHDJHNondITqbl8xZ9vPn,1.0,69
202,Lil Uzi Vert,Celebration Station,34,7,1,25B5fGr9K0VdZJiRFsnMO4,1.0,68
203,Lil Uzi Vert,You Better Move,36,8,1,6YAxCn4juTWn5hWl2hzHGw,1.0,67
204,Lil Uzi Vert,Venetia,39,8,1,3BYIzNZ3t9lRQCACXSMLrT,1.0,70
205,Lil Uzi Vert,Chrome Heart Tags,45,9,1,46mT9NR7N9Zf5MolcrBgE3,1.0,65
206,Lil Uzi Vert,Bust Me,51,11,1,4wBcaYqLPm7EtDVoJQORU4,1.0,65
207,Lil Uzi Vert,Secure The Bag,72,15,1,7gHZGXSJzM29WA384suYY2,1.0,64
208,Jhene Aiko,Triggered,51,11,4,3zPgAKn5tbmCuCKrR3r7qE,1.0,70
209,BrockHampton,SUGAR,66,14,9,6U0FIYXCQ3TGrk4tFpLrEA,1.0,83
210,Billie Eilish,Bad Guy,1,1,49,2Fxmhks0bxGSBdJ92vM42m,0.0,90
211,Sam Hunt,Kinfolks,34,7,21,53F1MVa1BWUkTBbVqgVAfN,0.0,70
212,Old Dominion,One Man Band,20,4,28,7cA3PnUQDlUyBBwpRozQeo,0.0,65
213,Lil Baby,Get Ugly,54,11,1,5XJciZ5Bj0IjPrcnNU7gvB,1.0,63
214,Lil Baby,How,59,12,1,5CLMG0eAitcBauIR8zPukZ,1.0,62
215,Bad Bunny,Pero Ya No,63,13,1,75pQqzwgCjUOSSy5CpmAjy,0.0,78
216,BTS,ON,4,1,2,2QyuXBcV1LJ2rq01KhreMF,0.0,81
217,YoungBoy Never Broke Again,Lil Top,28,6,2,1aMokXl3uKDvCh4BBcjFOA,1.0,73
218,Lil Baby,Same Thing,78,16,1,2XEsbmynS9dLSzNSuZzfXF,1.0,63
219,Jimmie Allen,Make Me Want To,49,10,10,0AYbVoeF03NYhM0fvKjAuU,0.0,66
220,Ashe,Moral Of The Story,71,15,2,2nC3QhMI9reBIOWutbU3Tj,1.0,82
221,Bad Bunny,Solia,94,19,1,7sOfmPd18RWp3FoCzpa7Kw,1.0,76
222,Billie Eilish,No Time To Die,16,4,3,73SpzrcaHk0RQPFP73vqVR,0.0,82
223,SHAED,Trampoline,13,3,39,0lsRatBUs9HNIZAmoGABzk,0.0,71
224,Jonas Brothers,Sucker,1,1,47,22vgEDb5hykfaTwLuskFGD,0.0,85
225,Ed Sheeran & Justin Bieber,I Don't Care,2,1,39,2Xqm0jHnkvjzrkkVRInzUB,0.0,48
226,YoungBoy Never Broke Again,Red Eye,47,10,1,3qHgGyJY4GpXNOK4WL4NSo,1.0,66
227,Jonas Brothers,Only Human,18,4,36,0DiDStADDVh3SvAsoJAFMk,0.0,80
228,YoungBoy Never Broke Again,Fine By Time,58,12,1,0KVEBQA98JvkmB5ZydQ13k,1.0,62
229,YoungBoy Never Broke Again,Bad Bad,59,12,1,2OUY5NdALupSoIQN9ZBH1a,1.0,66
230,YoungBoy Never Broke Again,Knocked Off,60,12,1,7MYFKS7XpVz1JQDK38pr8N,1.0,64
231,YoungBoy Never Broke Again,RIP Lil Phat,80,16,1,5YEAvnL3klXUE7etBXvMlp,1.0,61
232,BTS,My Time,84,17,1,4vTgx6h4seHvkuFh84JXYP,0.0,76
233,YoungBoy Never Broke Again,Long RD,85,17,1,4RhRDVXc3xFojyyjyh1jmN,1.0,59
234,BTS,Filter,87,18,1,0ono6UCNVZ1XqOm6j78Blu,0.0,78
235,YoungBoy Never Broke Again,Bat Man,89,18,1,6fEdWrEYspdneQMNIT33I4,1.0,59
236,Selena Gomez,Rare,30,6,7,7HMmFQsKsljwTw8bS7lu19,0.0,77
237,A Boogie Wit da Hoodie,Me And My Guitar,58,12,2,6cZH4rX1KTt1aJ3Ql6Ynja,1.0,76
238,Selena Gomez,Feel Me,98,20,1,6XXYdF6pJR1K3wKvuxmu7n,0.0,74
239,Lizzo,Truth Hurts,1,1,42,3HWzoMvoF3TQfYg4UPszDq,1.0,80
240,A Boogie Wit da Hoodie,Thug Love,73,15,1,4MzhmCOgPB7xb87f1CXjlA,1.0,65
241,Nicki Minaj,Yikes,23,5,2,75dLEqanQTupF3dtP9exT5,1.0,76
242,Justin Bieber,Come Around Me,86,18,1,2o9LAypwGH4ctV0i9boo6d,0.0,74
243,A Boogie Wit da Hoodie,King Of My City,69,14,3,3o0nkjyy6eZL5lZcEpvJec,1.0,67
244,A Boogie Wit da Hoodie,Cinderella Story,95,19,1,18AIesWCXvIbXu8RqQw1E1,1.0,62
245,Justin Bieber,Habitual,98,20,1,40qyPyljksBEqlNw5sW37T,0.0,71
246,Justin Bieber,All Around Me,100,20,1,5Py8zRKGkZvgHniVVtvNCN,0.0,70
247,Luke Combs,Even Though I'm Leaving,11,3,24,5Fhe63YOMZsGdB3CgCDuBi,0.0,75
248,Jon Pardi,Heartache Medication,42,9,20,6ZvAXIWw3rw8WR0Xlmifri,0.0,68
249,DaBaby,VIBEZ,21,5,20,0fySG6A6qLE8IvDpayb5bM,1.0,81
250,Joji,Run,68,14,1,6p8eEdiZLKJH8tcjGZuNTK,0.0,76
251,Anuel AA,KEII,83,17,1,5eEQCfq7MXQr6aHLNRUZLs,0.0,81
252,Don Toliver,No Idea,43,9,11,7AzlLxHn24DxjgQX73F9fU,0.0,84
253,Niall Horan,No Judgement,97,20,1,5IUOU5xkzGHsRFOYNu3GSK,0.0,76
254,Baby Keem,ORANGE SODA,98,20,3,5FkoSXiJPKTNyYgALRJFhD,1.0,78
255,Taylor Swift,Only The Young,50,10,1,2slqvGLwzZZYsT4K4Y1GBC,0.0,71
256,Demi Lovato,Anyone,34,7,2,18ssFhD04lWo1RzpcohnrG,1.0,68
257,Lil Wayne,Mahogany,61,13,1,5f9JYuHSIHjp6rggue13RS,1.0,60
258,Mac Miller,Good News,17,4,4,1DWZUa5Mzf2BwzpHtgbHPY,0.0,76
259,Lil Wayne,Mama Mia,87,18,1,7K8vPC3GPWafq2zXHuUGXz,1.0,57
260,Lil Wayne,Funeral,88,18,1,4y1GxT1XnufGddKkrFkbtC,1.0,51
261,NLE Choppa,Camelot,37,8,20,4sWuPniHClkInYAnzXAYUF,1.0,81
262,Lil Nas X,Panini,5,1,32,4SDgTLDYrJ2UrHbkRkg7MD,0.0,79
263,Halsey,Graveyard,34,7,20,2ufmtcIFdFpuUYBPXK5f67,0.0,80
264,Mac Miller,Blue World,38,8,2,2hwOoMtWPtTSSn6WHV7Vp5,1.0,75
265,Eminem,Darkness,28,6,2,5SiZJoLXp3WOl3J4C8IK0d,1.0,72
266,Camila Cabello,First Man,94,19,1,6TRt2bniIq0EIlrDlje7b8,0.0,70
267,Ali Gatie,What If I Told You That I Love You,95,19,1,74D7JUfU6HYeMx4bZhsHnG,0.0,76
268,Mac Miller,Circles,48,10,1,4jXl6VtkFFKIt3ycUQc5LT,0.0,69
269,BTS,Black Swan,57,12,1,24NuEDgyRIljwSyY0lsr7b,0.0,75
270,Mac Miller,Complicated,63,13,1,3WfSNAoj2D8C9noPSGZZFM,0.0,64
271,Mac Miller,Hand Me Downs,64,13,1,2Yv2mHzr5AQavVdwQjEokV,0.0,66
272,Eminem,Premonition (Intro),67,14,1,7ccTcabbJlCJiIqtrSSwBk,1.0,69
273,Mac Miller,I Can See,68,14,1,3R8CyhJfVjvgIROd5RSGhQ,0.0,62
